<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.02	02:55:00	4352.30	4355.95	4351.13	4354.10	1567	0	19
2026.01.02	03:00:00	4354.11	4356.01	4347.28	4347.97	1934	0	19
2026.01.02	03:05:00	4347.98	4350.22	4345.32	4346.27	2010	0	19
2026.01.02	03:10:00	4346.26	4350.95	4345.96	4346.60	1902	0	19
2026.01.02	03:15:00	4346.60	4349.66	4344.97	4349.14	1935	0	19
2026.01.02	03:20:00	4349.15	4349.83	4346.31	4346.37	2011	0	19
2026.01.02	03:25:00	4346.33	4349.54	4344.63	4349.17	2179	0	19
2026.01.02	03:30:00	4349.17	4351.36	4348.91	4349.69	2262	0	19
2026.01.02	03:35:00	4349.69	4351.46	4348.10	4348.94	2033	0	19
2026.01.02	03:40:00	4348.94	4349.73	4345.74	4346.65	1836	0	19
2026.01.02	03:45:00	4346.66	4352.20	4346.10	4352.17	1804	0	19
2026.01.02	03:50:00	4352.17	4354.49	4350.30	4350.30	2036	0	19
2026.01.02	03:55:00	4350.30	4350.58	4347.59	4348.00	1368	0	19
2026.01.02	04:00:00	4347.99	4351.94	4347.63	4350.05	1358	0	19
2026.01.02	04:05:00	4350.06	4350.07	4346.78	4347.76	1248	0	19
2026.01.02	04:10:00	4347.76	4347.76	4345.65	4346.97	1176	0	19
2026.01.02	04:15:00	4347.00	4347.97	4345.32	4347.58	1496	0	19
2026.01.02	04:20:00	4347.55	4347.78	4345.04	4346.64	1384	0	19
2026.01.02	04:25:00	4346.64	4348.36	4344.99	4347.76	2094	0	19
2026.01.02	04:30:00	4347.76	4350.43	4345.79	4346.91	2072	0	19
2026.01.02	04:35:00	4346.88	4353.35	4346.88	4352.19	2131	0	19
2026.01.02	04:40:00	4352.17	4352.45	4350.74	4351.50	1504	0	19
2026.01.02	04:45:00	4351.48	4355.71	4351.17	4354.96	1520	0	19
2026.01.02	04:50:00	4354.95	4359.87	4354.95	4359.25	1894	0	19
2026.01.02	04:55:00	4359.25	4363.18	4358.09	4362.92	2239	0	19
2026.01.02	05:00:00	4362.92	4364.51	4362.15	4363.99	1700	0	19
2026.01.02	05:05:00	4363.99	4366.51	4363.91	4365.34	1469	0	19
2026.01.02	05:10:00	4365.34	4371.78	4365.26	4369.02	2037	0	19
2026.01.02	05:15:00	4369.05	4369.10	4365.55	4366.56	1876	0	19
2026.01.02	05:20:00	4366.56	4370.70	4365.74	4369.88	1708	0	19
2026.01.02	05:25:00	4369.88	4369.96	4367.52	4369.07	1750	0	19
2026.01.02	05:30:00	4369.07	4373.10	4368.02	4371.18	1879	0	19
2026.01.02	05:35:00	4371.18	4372.10	4369.35	4371.14	1887	0	19
2026.01.02	05:40:00	4371.14	4374.57	4370.69	4373.73	1703	0	19
2026.01.02	05:45:00	4373.74	4375.65	4372.72	4373.43	1561	0	19
2026.01.02	05:50:00	4373.41	4375.39	4372.68	4373.96	1669	0	19
2026.01.02	05:55:00	4373.97	4375.52	4372.08	4375.14	1919	0	19
2026.01.02	06:00:00	4375.14	4377.67	4373.91	4377.52	1883	0	19
2026.01.02	06:05:00	4377.50	4378.40	4375.73	4375.93	1763	0	19
2026.01.02	06:10:00	4375.95	4377.40	4374.56	4374.81	1538	0	19
2026.01.02	06:15:00	4374.81	4375.74	4374.03	4375.03	1674	0	19
2026.01.02	06:20:00	4375.03	4375.45	4371.42	4372.81	1881	0	19
2026.01.02	06:25:00	4372.77	4375.99	4372.56	4373.60	1603	0	19
2026.01.02	06:30:00	4373.56	4374.62	4371.59	4373.31	1415	0	19
2026.01.02	06:35:00	4373.32	4373.84	4371.86	4373.13	1569	0	19
2026.01.02	06:40:00	4373.13	4375.47	4372.74	4375.37	1398	0	19
2026.01.02	06:45:00	4375.36	4375.85	4373.85	4374.55	1328	0	19
2026.01.02	06:50:00	4374.55	4375.35	4372.40	4372.58	1296	0	19
2026.01.02	06:55:00	4372.59	4373.25	4371.27	4373.20	1359	0	19
2026.01.02	07:00:00	4373.19	4373.59	4371.05	4371.56	1286	0	19
2026.01.02	07:05:00	4371.54	4378.04	4371.48	4377.54	1665	0	19
2026.01.02	07:10:00	4377.55	4380.11	4377.50	4377.74	1770	0	19
2026.01.02	07:15:00	4377.75	4378.95	4376.43	4376.97	1843	0	19
2026.01.02	07:20:00	4376.96	4380.04	4375.25	4378.31	1929	0	19
2026.01.02	07:25:00	4378.28	4378.68	4377.62	4378.46	1431	0	19
2026.01.02	07:30:00	4378.46	4379.60	4377.99	4379.08	1345	0	19
2026.01.02	07:35:00	4379.09	4379.84	4378.08	4379.61	1347	0	19
2026.01.02	07:40:00	4379.60	4379.62	4377.83	4378.80	1247	0	19
2026.01.02	07:45:00	4378.81	4379.95	4378.38	4379.51	1245	0	19
2026.01.02	07:50:00	4379.51	4381.68	4378.66	4381.23	1394	0	19
2026.01.02	07:55:00	4381.22	4381.65	4379.20	4380.72	1634	0	19
2026.01.02	08:00:00	4380.72	4380.99	4376.77	4377.38	1495	0	19
2026.01.02	08:05:00	4377.37	4377.41	4373.95	4374.94	1337	0	19
2026.01.02	08:10:00	4374.92	4377.70	4374.50	4375.10	1517	0	19
2026.01.02	08:15:00	4375.09	4377.97	4373.62	4377.57	2137	0	19
2026.01.02	08:20:00	4377.56	4379.33	4376.29	4378.06	1935	0	19
2026.01.02	08:25:00	4378.05	4379.98	4377.48	4379.77	1554	0	19
2026.01.02	08:30:00	4379.76	4379.81	4377.06	4378.46	1442	0	19
2026.01.02	08:35:00	4378.46	4379.00	4376.35	4376.42	1357	0	19
2026.01.02	08:40:00	4376.42	4376.87	4374.41	4374.42	1329	0	19
2026.01.02	08:45:00	4374.42	4376.19	4373.38	4375.78	1734	0	19
2026.01.02	08:50:00	4375.80	4376.25	4373.54	4374.41	2002	0	19
2026.01.02	08:55:00	4374.41	4375.75	4373.35	4374.70	1585	0	19
2026.01.02	09:00:00	4374.69	4376.08	4373.28	4373.96	1736	0	19
2026.01.02	09:05:00	4373.95	4375.78	4373.21	4373.21	1503	0	19
2026.01.02	09:10:00	4373.08	4377.95	4372.36	4377.17	1908	0	19
2026.01.02	09:15:00	4377.18	4377.49	4374.35	4374.89	2109	0	19
2026.01.02	09:20:00	4374.88	4375.61	4371.98	4372.55	1912	0	19
2026.01.02	09:25:00	4372.54	4375.32	4372.46	4373.79	1767	0	19
2026.01.02	09:30:00	4373.78	4380.00	4372.24	4378.91	1974	0	19
2026.01.02	09:35:00	4378.89	4380.69	4378.52	4379.72	1729	0	19
2026.01.02	09:40:00	4379.74	4379.78	4375.54	4375.73	1507	0	19
2026.01.02	09:45:00	4375.73	4377.74	4375.26	4377.01	1930	0	19
2026.01.02	09:50:00	4376.99	4381.37	4376.28	4380.43	1685	0	19
2026.01.02	09:55:00	4380.44	4383.36	4380.34	4382.77	2135	0	19
2026.01.02	10:00:00	4382.81	4384.78	4380.79	4382.86	2047	0	19
2026.01.02	10:05:00	4382.86	4385.92	4381.55	4385.92	1610	0	19
2026.01.02	10:10:00	4385.92	4386.59	4384.14	4385.06	1238	0	19
2026.01.02	10:15:00	4385.05	4385.23	4382.70	4383.04	1529	0	19
2026.01.02	10:20:00	4383.09	4383.94	4381.65	4383.57	1635	0	19
2026.01.02	10:25:00	4383.57	4385.72	4383.20	4385.35	1575	0	19
2026.01.02	10:30:00	4385.34	4389.18	4384.22	4388.75	1969	0	19
2026.01.02	10:35:00	4388.77	4389.22	4387.45	4388.69	1897	0	19
2026.01.02	10:40:00	4388.67	4390.58	4388.04	4390.53	2155	0	19
2026.01.02	10:45:00	4390.53	4397.49	4390.52	4394.98	2497	0	19
2026.01.02	10:50:00	4394.95	4395.79	4391.57	4392.47	1978	0	19
2026.01.02	10:55:00	4392.48	4392.87	4386.88	4387.00	1694	0	19
2026.01.02	11:00:00	4386.99	4389.66	4386.18	4388.59	2018	0	19
2026.01.02	11:05:00	4388.58	4391.11	4387.94	4390.90	1928	0	19
2026.01.02	11:10:00	4390.91	4391.04	4387.46	4390.12	2132	0	19
2026.01.02	11:15:00	4390.11	4391.61	4387.95	4388.71	2001	0	19
2026.01.02	11:20:00	4388.73	4388.78	4383.35	4386.16	2322	0	19
2026.01.02	11:25:00	4386.16	4388.97	4385.33	4388.70	1649	0	19
2026.01.02	11:30:00	4388.69	4389.82	4388.22	4388.28	1603	0	19
2026.01.02	11:35:00	4388.28	4389.37	4386.79	4387.07	1341	0	19
2026.01.02	11:40:00	4387.06	4389.35	4386.91	4388.71	1581	0	19
2026.01.02	11:45:00	4388.72	4389.51	4386.56	4388.27	1578	0	19
2026.01.02	11:50:00	4388.26	4389.35	4386.96	4389.25	1510	0	19
2026.01.02	11:55:00	4389.25	4389.30	4385.05	4385.51	1828	0	19
2026.01.02	12:00:00	4385.51	4388.01	4384.62	4387.88	1509	0	19
2026.01.02	12:05:00	4387.91	4388.51	4386.12	4386.79	1972	0	19
2026.01.02	12:10:00	4386.78	4388.19	4386.22	4388.13	1630	0	19
2026.01.02	12:15:00	4388.13	4388.32	4386.57	4387.70	1541	0	19
2026.01.02	12:20:00	4387.70	4390.07	4387.62	4389.04	1558	0	19
2026.01.02	12:25:00	4389.02	4389.74	4385.62	4386.41	1779	0	19
2026.01.02	12:30:00	4386.38	4388.82	4384.93	4388.68	2031	0	19
2026.01.02	12:35:00	4388.69	4394.79	4388.54	4394.53	2041	0	19
2026.01.02	12:40:00	4394.53	4396.50	4393.06	4393.67	1954	0	19
2026.01.02	12:45:00	4393.67	4396.71	4393.67	4394.90	1493	0	19
2026.01.02	12:50:00	4394.90	4398.51	4394.90	4396.80	1752	0	19
2026.01.02	12:55:00	4396.82	4398.50	4396.12	4396.12	1801	0	19
2026.01.02	13:00:00	4396.12	4397.87	4395.23	4396.95	1663	0	19
2026.01.02	13:05:00	4396.97	4397.48	4395.37	4395.59	1513	0	19
2026.01.02	13:10:00	4395.59	4395.87	4393.98	4395.17	1615	0	19
2026.01.02	13:15:00	4395.16	4397.14	4395.04	4396.95	1098	0	19
2026.01.02	13:20:00	4396.95	4398.14	4396.03	4398.06	1119	0	19
2026.01.02	13:25:00	4398.07	4399.30	4394.28	4394.43	1553	0	19
2026.01.02	13:30:00	4394.43	4395.05	4391.94	4393.98	1808	0	19
2026.01.02	13:35:00	4393.97	4394.82	4391.79	4393.21	1596	0	19
2026.01.02	13:40:00	4393.21	4395.68	4392.58	4395.03	1514	0	19
2026.01.02	13:45:00	4395.03	4395.59	4393.38	4394.29	1560	0	19
2026.01.02	13:50:00	4394.30	4394.34	4391.06	4391.78	1799	0	19
2026.01.02	13:55:00	4391.78	4393.21	4390.78	4392.95	2072	0	19
2026.01.02	14:00:00	4392.95	4393.06	4391.23	4391.43	1913	0	19
2026.01.02	14:05:00	4391.43	4396.61	4391.37	4396.14	1539	0	19
2026.01.02	14:10:00	4396.15	4397.27	4393.61	4395.29	1914	0	19
2026.01.02	14:15:00	4395.29	4398.00	4394.23	4397.43	1566	0	19
2026.01.02	14:20:00	4397.43	4398.25	4395.57	4395.58	1469	0	19
2026.01.02	14:25:00	4395.58	4395.83	4393.03	4393.28	1462	0	19
2026.01.02	14:30:00	4393.27	4394.53	4392.24	4393.93	1540	0	19
2026.01.02	14:35:00	4393.93	4394.18	4391.38	4392.58	2066	0	19
2026.01.02	14:40:00	4392.59	4392.76	4385.26	4388.04	2607	0	19
2026.01.02	14:45:00	4388.07	4389.07	4385.46	4387.90	2186	0	19
2026.01.02	14:50:00	4387.90	4390.18	4387.24	4390.02	2000	0	19
2026.01.02	14:55:00	4390.00	4394.74	4390.00	4394.39	2061	0	19
2026.01.02	15:00:00	4394.39	4397.75	4392.65	4397.52	2463	0	19
2026.01.02	15:05:00	4397.51	4398.15	4395.52	4397.22	1936	0	19
2026.01.02	15:10:00	4397.25	4401.07	4396.82	4399.77	1932	0	19
2026.01.02	15:15:00	4399.77	4402.33	4397.99	4398.90	2141	0	19
2026.01.02	15:20:00	4398.86	4399.07	4379.80	4381.44	3336	0	19
2026.01.02	15:25:00	4381.44	4384.23	4373.05	4374.50	3189	0	19
2026.01.02	15:30:00	4374.49	4377.07	4368.62	4372.57	3250	0	19
2026.01.02	15:35:00	4372.70	4374.75	4366.03	4369.68	3017	0	19
2026.01.02	15:40:00	4369.73	4372.72	4368.33	4372.56	2545	0	19
2026.01.02	15:45:00	4372.56	4377.82	4370.43	4370.66	2520	0	19
2026.01.02	15:50:00	4370.67	4371.77	4365.74	4366.79	2965	0	19
2026.01.02	15:55:00	4366.72	4370.18	4361.90	4365.95	2717	0	19
2026.01.02	16:00:00	4365.98	4372.03	4364.65	4371.62	3019	0	19
2026.01.02	16:05:00	4371.61	4372.66	4368.86	4370.72	2288	0	19
2026.01.02	16:10:00	4370.72	4371.88	4368.74	4370.32	1930	0	19
2026.01.02	16:15:00	4370.34	4372.08	4367.06	4372.04	2428	0	19
2026.01.02	16:20:00	4372.04	4373.68	4368.38	4368.68	2582	0	19
2026.01.02	16:25:00	4368.76	4371.48	4367.75	4368.34	2687	0	19
2026.01.02	16:30:00	4368.38	4370.15	4354.73	4355.24	4109	0	19
2026.01.02	16:35:00	4355.28	4359.90	4350.14	4351.19	4327	0	19
2026.01.02	16:40:00	4351.18	4356.53	4348.17	4356.39	3866	0	19
2026.01.02	16:45:00	4356.38	4363.12	4353.94	4361.58	3569	0	19
2026.01.02	16:50:00	4361.58	4363.06	4355.02	4359.11	3759	0	19
2026.01.02	16:55:00	4359.03	4359.45	4352.29	4353.43	3642	0	19
2026.01.02	17:00:00	4353.43	4357.00	4341.98	4342.28	3798	0	19
2026.01.02	17:05:00	4342.20	4350.39	4339.24	4347.34	3568	0	19
2026.01.02	17:10:00	4347.33	4349.06	4333.75	4340.56	3818	0	19
2026.01.02	17:15:00	4340.69	4342.69	4334.91	4339.46	3749	0	19
2026.01.02	17:20:00	4339.54	4341.41	4330.29	4334.14	3794	0	19
2026.01.02	17:25:00	4334.14	4340.28	4334.02	4336.54	3630	0	19
2026.01.02	17:30:00	4336.59	4339.80	4331.74	4339.14	3462	0	19
2026.01.02	17:35:00	4339.16	4341.68	4337.34	4340.21	2945	0	19
2026.01.02	17:40:00	4340.23	4346.75	4340.23	4346.10	3244	0	19
2026.01.02	17:45:00	4346.01	4347.02	4340.97	4342.80	3326	0	19
2026.01.02	17:50:00	4342.81	4343.93	4338.68	4341.53	3620	0	19
2026.01.02	17:55:00	4341.49	4341.52	4333.75	4335.36	3374	0	19
2026.01.02	18:00:00	4335.37	4337.36	4324.24	4327.59	3758	0	19
2026.01.02	18:05:00	4327.58	4329.53	4322.46	4326.68	3927	0	19
2026.01.02	18:10:00	4326.66	4326.76	4320.51	4322.50	3797	0	19
2026.01.02	18:15:00	4322.50	4324.95	4315.39	4317.29	3885	0	19
2026.01.02	18:20:00	4317.27	4321.01	4315.10	4318.66	3634	0	19
2026.01.02	18:25:00	4318.67	4324.22	4318.39	4321.60	3364	0	19
2026.01.02	18:30:00	4321.60	4321.95	4315.34	4316.27	2964	0	19
2026.01.02	18:35:00	4316.26	4325.00	4315.28	4322.26	3133	0	19
2026.01.02	18:40:00	4322.26	4328.15	4321.11	4325.83	2940	0	19
2026.01.02	18:45:00	4325.86	4328.27	4323.09	4324.63	2889	0	19
2026.01.02	18:50:00	4324.62	4326.80	4322.30	4323.70	2838	0	19
2026.01.02	18:55:00	4323.72	4326.49	4321.48	4326.49	3079	0	19
2026.01.02	19:00:00	4326.45	4332.35	4324.93	4332.20	3057	0	19
2026.01.02	19:05:00	4332.20	4333.52	4327.49	4328.31	2953	0	19
2026.01.02	19:10:00	4328.33	4331.46	4327.68	4330.17	2779	0	19
2026.01.02	19:15:00	4330.20	4332.97	4328.45	4329.24	2384	0	19
2026.01.02	19:20:00	4329.28	4330.78	4325.79	4326.04	2459	0	19
2026.01.02	19:25:00	4326.05	4329.11	4324.01	4328.81	2311	0	19
2026.01.02	19:30:00	4328.80	4331.24	4326.73	4328.62	2843	0	19
2026.01.02	19:35:00	4328.63	4329.91	4324.77	4325.58	2467	0	19
2026.01.02	19:40:00	4325.60	4327.24	4323.61	4326.37	2746	0	19
2026.01.02	19:45:00	4326.37	4328.09	4324.81	4326.02	2840	0	19
2026.01.02	19:50:00	4326.02	4327.84	4323.97	4325.21	2923	0	19
2026.01.02	19:55:00	4325.21	4326.21	4322.76	4323.01	3026	0	19
2026.01.02	20:00:00	4323.02	4323.66	4320.74	4321.99	2409	0	19
2026.01.02	20:05:00	4322.00	4323.24	4316.09	4316.59	2495	0	19
2026.01.02	20:10:00	4316.57	4316.71	4312.63	4314.56	2584	0	19
2026.01.02	20:15:00	4314.50	4318.45	4310.80	4318.42	2751	0	19
2026.01.02	20:20:00	4318.41	4320.17	4315.98	4319.29	2874	0	19
2026.01.02	20:25:00	4319.28	4321.69	4317.71	4318.59	2889	0	19
2026.01.02	20:30:00	4318.61	4319.49	4315.03	4316.07	2312	0	19
2026.01.02	20:35:00	4316.10	4318.43	4311.99	4315.57	2371	0	19
2026.01.02	20:40:00	4315.57	4316.26	4309.84	4312.43	2422	0	19
2026.01.02	20:45:00	4312.43	4315.01	4312.32	4313.26	2522	0	19
2026.01.02	20:50:00	4313.25	4315.19	4312.05	4315.00	2364	0	19
2026.01.02	20:55:00	4315.00	4315.70	4313.83	4315.15	2295	0	19
2026.01.02	21:00:00	4315.15	4320.49	4315.15	4319.81	2399	0	19
2026.01.02	21:05:00	4319.80	4321.90	4317.94	4320.90	2399	0	19
2026.01.02	21:10:00	4320.90	4322.15	4320.04	4321.49	2280	0	19
2026.01.02	21:15:00	4321.49	4323.11	4321.19	4322.06	2411	0	19
2026.01.02	21:20:00	4322.06	4322.06	4316.41	4316.70	2160	0	19
2026.01.02	21:25:00	4316.71	4319.01	4316.53	4318.54	2154	0	19
2026.01.02	21:30:00	4318.54	4321.58	4318.19	4320.59	2315	0	19
2026.01.02	21:35:00	4320.59	4326.13	4320.30	4323.78	2353	0	19
2026.01.02	21:40:00	4323.76	4326.27	4321.83	4322.74	2604	0	19
2026.01.02	21:45:00	4322.74	4322.92	4319.58	4321.10	2393	0	19
2026.01.02	21:50:00	4321.07	4321.16	4317.52	4319.93	2344	0	19
2026.01.02	21:55:00	4319.92	4320.86	4317.87	4318.13	2211	0	19
2026.01.02	22:00:00	4318.13	4320.32	4317.18	4318.74	2269	0	19
2026.01.02	22:05:00	4318.72	4320.18	4318.04	4319.25	2181	0	19
2026.01.02	22:10:00	4319.27	4321.44	4319.26	4319.95	2121	0	19
2026.01.02	22:15:00	4319.97	4322.24	4318.73	4322.23	2329	0	19
2026.01.02	22:20:00	4322.24	4326.32	4322.23	4326.18	2360	0	19
2026.01.02	22:25:00	4326.18	4329.38	4324.63	4328.47	2172	0	19
2026.01.02	22:30:00	4328.46	4328.49	4325.27	4327.63	2233	0	19
2026.01.02	22:35:00	4327.63	4329.06	4326.23	4327.58	1795	0	19
2026.01.02	22:40:00	4327.58	4329.27	4326.80	4326.84	1842	0	19
2026.01.02	22:45:00	4326.84	4328.10	4326.38	4327.24	1822	0	19
2026.01.02	22:50:00	4327.23	4329.66	4326.82	4328.06	1967	0	19
2026.01.02	22:55:00	4328.05	4331.52	4328.05	4331.49	2440	0	19
2026.01.02	23:00:00	4331.48	4331.82	4328.23	4330.66	1748	0	19
2026.01.02	23:05:00	4330.66	4331.21	4327.06	4329.57	1188	0	19
2026.01.02	23:10:00	4329.58	4331.32	4328.60	4328.97	921	0	19
2026.01.02	23:15:00	4328.97	4329.21	4327.82	4328.47	530	0	19
2026.01.02	23:20:00	4328.47	4329.45	4327.88	4329.11	613	0	19
2026.01.02	23:25:00	4329.12	4329.72	4328.02	4328.86	1044	0	19
2026.01.02	23:30:00	4328.86	4329.67	4328.22	4329.52	583	0	19
2026.01.02	23:35:00	4329.53	4330.46	4328.23	4328.32	784	0	19
2026.01.02	23:40:00	4328.34	4328.77	4327.31	4328.59	904	0	19
2026.01.02	23:45:00	4328.58	4331.37	4328.49	4330.50	948	0	19
2026.01.02	23:50:00	4330.51	4333.33	4330.41	4333.00	1162	0	19
2026.01.02	23:55:00	4333.00	4333.39	4332.64	4332.77	377	0	19
2026.01.05	01:00:00	4359.64	4361.68	4345.53	4356.66	3137	0	19
2026.01.05	01:05:00	4356.66	4359.79	4349.88	4359.69	2555	0	19
2026.01.05	01:10:00	4359.65	4370.62	4359.04	4370.14	2284	0	19
2026.01.05	01:15:00	4370.19	4372.58	4361.17	4365.30	2410	0	19
2026.01.05	01:20:00	4365.29	4368.90	4364.32	4365.00	1792	0	19
2026.01.05	01:25:00	4364.99	4368.06	4363.43	4366.93	1454	0	19
2026.01.05	01:30:00	4366.93	4366.96	4354.37	4356.76	2009	0	19
2026.01.05	01:35:00	4356.75	4362.28	4354.56	4361.59	2043	0	19
2026.01.05	01:40:00	4361.62	4363.46	4360.68	4362.19	1251	0	19
2026.01.05	01:45:00	4362.19	4370.77	4361.36	4370.69	1903	0	19
2026.01.05	01:50:00	4370.68	4375.55	4370.68	4373.48	2664	0	19
2026.01.05	01:55:00	4373.51	4375.88	4371.89	4372.49	1920	0	19
2026.01.05	02:00:00	4372.52	4375.24	4370.60	4370.71	1997	0	19
2026.01.05	02:05:00	4370.70	4375.30	4370.27	4375.14	1595	0	19
2026.01.05	02:10:00	4375.14	4379.83	4375.14	4378.07	1949	0	19
2026.01.05	02:15:00	4377.99	4383.44	4377.72	4383.44	1913	0	19
2026.01.05	02:20:00	4383.44	4385.80	4382.02	4384.61	2002	0	19
2026.01.05	02:25:00	4384.61	4389.48	4383.33	4387.17	1830	0	19
2026.01.05	02:30:00	4387.09	4392.24	4386.33	4388.91	2340	0	19
2026.01.05	02:35:00	4388.90	4396.65	4387.76	4395.16	2753	0	19
2026.01.05	02:40:00	4395.24	4395.37	4385.72	4387.92	2415	0	19
2026.01.05	02:45:00	4387.94	4391.81	4385.08	4391.80	2666	0	19
2026.01.05	02:50:00	4391.90	4392.54	4389.55	4392.02	2509	0	19
2026.01.05	02:55:00	4392.03	4396.04	4389.46	4394.85	2996	0	19
2026.01.05	03:00:00	4395.01	4416.88	4394.45	4416.86	4313	0	19
2026.01.05	03:05:00	4416.93	4421.06	4404.95	4410.71	3889	0	19
2026.01.05	03:10:00	4410.71	4416.84	4396.96	4403.00	3946	0	19
2026.01.05	03:15:00	4402.92	4404.51	4395.58	4396.02	3588	0	19
2026.01.05	03:20:00	4396.01	4401.78	4394.33	4397.73	3333	0	19
2026.01.05	03:25:00	4397.82	4405.28	4394.23	4396.07	3392	0	19
2026.01.05	03:30:00	4396.07	4400.86	4393.10	4395.75	3425	0	19
2026.01.05	03:35:00	4395.76	4404.89	4394.47	4404.39	3616	0	19
2026.01.05	03:40:00	4404.38	4405.17	4397.96	4404.08	3261	0	19
2026.01.05	03:45:00	4404.03	4406.76	4399.03	4399.65	3570	0	19
2026.01.05	03:50:00	4399.72	4400.51	4391.33	4398.52	3744	0	19
2026.01.05	03:55:00	4398.51	4402.18	4397.20	4401.86	3140	0	19
2026.01.05	04:00:00	4401.91	4404.94	4395.67	4399.13	3267	0	19
2026.01.05	04:05:00	4399.11	4400.01	4388.65	4390.98	3346	0	19
2026.01.05	04:10:00	4390.99	4394.62	4390.08	4394.21	2687	0	19
2026.01.05	04:15:00	4394.20	4398.30	4392.59	4394.55	2673	0	19
2026.01.05	04:20:00	4394.57	4397.33	4394.21	4397.21	1917	0	19
2026.01.05	04:25:00	4397.21	4402.91	4397.19	4402.27	2751	0	19
2026.01.05	04:30:00	4402.25	4406.92	4401.11	4402.70	3249	0	19
2026.01.05	04:35:00	4402.63	4404.98	4401.61	4402.39	2956	0	19
2026.01.05	04:40:00	4402.40	4404.96	4399.78	4399.83	3112	0	19
2026.01.05	04:45:00	4399.83	4405.19	4398.72	4403.27	3039	0	19
2026.01.05	04:50:00	4403.27	4408.40	4402.76	4407.27	3208	0	19
2026.01.05	04:55:00	4407.23	4409.66	4404.36	4405.43	3087	0	19
2026.01.05	05:00:00	4405.46	4412.28	4405.40	4411.61	3418	0	19
2026.01.05	05:05:00	4411.61	4413.98	4409.38	4410.25	3093	0	19
2026.01.05	05:10:00	4410.25	4413.32	4408.51	4410.65	2938	0	19
2026.01.05	05:15:00	4410.61	4412.57	4407.94	4408.12	2838	0	19
2026.01.05	05:20:00	4408.13	4409.99	4407.91	4409.99	2484	0	19
2026.01.05	05:25:00	4409.98	4410.07	4406.02	4407.47	2593	0	19
2026.01.05	05:30:00	4407.46	4407.47	4403.60	4404.15	2453	0	19
2026.01.05	05:35:00	4404.14	4409.33	4403.62	4408.87	2184	0	19
2026.01.05	05:40:00	4408.86	4410.66	4407.95	4409.68	2823	0	19
2026.01.05	05:45:00	4409.67	4410.26	4406.24	4406.84	2451	0	19
2026.01.05	05:50:00	4406.83	4409.08	4406.53	4406.60	1997	0	19
2026.01.05	05:55:00	4406.59	4406.97	4399.40	4399.75	2207	0	19
2026.01.05	06:00:00	4399.65	4403.05	4397.29	4402.71	2363	0	19
2026.01.05	06:05:00	4402.70	4404.36	4400.26	4400.30	1873	0	19
2026.01.05	06:10:00	4400.13	4401.17	4398.69	4400.03	1431	0	19
2026.01.05	06:15:00	4400.03	4403.73	4400.00	4402.95	1249	0	19
2026.01.05	06:20:00	4402.95	4406.28	4402.94	4405.20	1239	0	19
2026.01.05	06:25:00	4405.19	4405.80	4404.26	4404.79	1314	0	19
2026.01.05	06:30:00	4404.78	4405.89	4404.34	4405.03	1065	0	19
2026.01.05	06:35:00	4405.04	4406.58	4404.25	4405.69	1274	0	19
2026.01.05	06:40:00	4405.69	4407.62	4405.46	4405.74	1491	0	19
2026.01.05	06:45:00	4405.75	4407.31	4405.51	4406.96	1259	0	19
2026.01.05	06:50:00	4406.99	4408.33	4403.66	4403.97	1638	0	19
